Id;Book;URL;FullName;FirstName
114;Baptism of Fire;https://witcher.fandom.com/wiki/Schirr%C3%BA;Schirrú;Schirrú
115;Baptism of Fire;https://witcher.fandom.com/wiki/Servadio;Servadio;Servadio
116;Baptism of Fire;https://witcher.fandom.com/wiki/Sheala_de_Tancarville;Sheala de Tancarville;Sheala
117;Baptism of Fire;https://witcher.fandom.com/wiki/Shilard_Fitz-Oesterlen;Shilard Fitz-Oesterlen;Shilard
118;Baptism of Fire;https://witcher.fandom.com/wiki/Sievers;Sievers;Sievers
119;Baptism of Fire;https://witcher.fandom.com/wiki/Sigismund_Dijkstra;Sigismund Dijkstra;Sigismund
120;Baptism of Fire;https://witcher.fandom.com/wiki/Silvester_Bugiardo;Silvester Bugiardo;Silvester
121;Baptism of Fire;https://witcher.fandom.com/wiki/Simlas_Finn_aep_Dabairr;Simlas Finn aep Dabairr;Simlas
122;Baptism of Fire;https://witcher.fandom.com/wiki/Sirssa;Sirssa;Sirssa
123;Baptism of Fire;https://witcher.fandom.com/wiki/Stefan_Skellen;Stefan Skellen;Stefan
124;Baptism of Fire;https://witcher.fandom.com/wiki/Stella_Congreve;Stella Congreve;Stella
125;Baptism of Fire;https://witcher.fandom.com/wiki/Stribog;Stribog;Stribog
126;Baptism of Fire;https://witcher.fandom.com/wiki/Stucco_Zangenis;Stucco Zangenis;Stucco
127;Baptism of Fire;https://witcher.fandom.com/wiki/Talbot;Talbot;Talbot
128;Baptism of Fire;https://witcher.fandom.com/wiki/Tissaia_de_Vries;Tissaia de Vries;Tissaia
129;Baptism of Fire;https://witcher.fandom.com/wiki/Toruviel;Toruviel;Toruviel
130;Baptism of Fire;https://witcher.fandom.com/wiki/Triss_Merigold;Triss Merigold;Triss
131;Baptism of Fire;https://witcher.fandom.com/wiki/Tugdual;Tugdual;Tugdual
132;Baptism of Fire;https://witcher.fandom.com/wiki/Tuzik;Tuzik;Tuzik
133;Baptism of Fire;https://witcher.fandom.com/wiki/Vanadain;Vanadain;Vanadain
134;Baptism of Fire;https://witcher.fandom.com/wiki/Vascoigne;Vascoigne;Vascoigne
135;Baptism of Fire;https://witcher.fandom.com/wiki/Vattier_de_Rideaux;Vattier de Rideaux;Vattier
136;Baptism of Fire;https://witcher.fandom.com/wiki/Vera_Loewenhaupt;Vera Loewenhaupt;Vera
137;Baptism of Fire;https://witcher.fandom.com/wiki/Vilgefortz;Vilgefortz;Vilgefortz
138;Baptism of Fire;https://witcher.fandom.com/wiki/Vissegerd;Vissegerd;Vissegerd
139;Baptism of Fire;https://witcher.fandom.com/wiki/Vizimir_II;Vizimir II;Vizimir II
140;Baptism of Fire;https://witcher.fandom.com/wiki/Vreemde;Vreemde;Vreemde
141;Baptism of Fire;https://witcher.fandom.com/wiki/Vridank;Vridank;Vridank
142;Baptism of Fire;https://witcher.fandom.com/wiki/Xarthisius;Xarthisius;Xarthisius
143;Baptism of Fire;https://witcher.fandom.com/wiki/Yazon_Varda;Yazon Varda;Yazon
144;Baptism of Fire;https://witcher.fandom.com/wiki/Yennefer_of_Vengerberg;Yennefer of Vengerberg;Yennefer
145;Baptism of Fire;https://witcher.fandom.com/wiki/Zgarba;Zgarba;Zgarba
146;Baptism of Fire;https://witcher.fandom.com/wiki/Zoltan_Chivay;Zoltan Chivay;Zoltan
147;Blood of Elves;https://witcher.fandom.com/wiki/Blood_of_Elves_minor_characters;Blood of Elves minor characters;Blood
148;Blood of Elves;https://witcher.fandom.com/wiki/Abrad_the_Old_Oak;Abrad the Old Oak;Abrad
149;Blood of Elves;https://witcher.fandom.com/wiki/Aelirenn;Aelirenn;Aelirenn
150;Blood of Elves;https://witcher.fandom.com/wiki/Agnes_of_Glanville;Agnes of Glanville;Agnes
151;Blood of Elves;https://witcher.fandom.com/wiki/Anna_Tiller;Anna Tiller;Anna
152;Blood of Elves;https://witcher.fandom.com/wiki/Ans%C3%A9is;Anséis;Anséis
153;Blood of Elves;https://witcher.fandom.com/wiki/Artaud_Terranova;Artaud Terranova;Artaud
154;Blood of Elves;https://witcher.fandom.com/wiki/Axel_Esparza;Axel Esparza;Axel
155;Blood of Elves;https://witcher.fandom.com/wiki/Boatbug;Boatbug;Boatbug
156;Blood of Elves;https://witcher.fandom.com/wiki/Boratek;Boratek;Boratek
157;Blood of Elves;https://witcher.fandom.com/wiki/Bronibor;Bronibor;Bronibor
158;Blood of Elves;https://witcher.fandom.com/wiki/Cahir_Mawr_Dyffryn_aep_Ceallach;Cahir Mawr Dyffryn aep Ceallach;Cahir
159;Blood of Elves;https://witcher.fandom.com/wiki/Calanthe;Calanthe;Calanthe
160;Blood of Elves;https://witcher.fandom.com/wiki/Carduin;Carduin;Carduin
161;Blood of Elves;https://witcher.fandom.com/wiki/Carla_Demetia_Crest;Carla Demetia Crest;Carla
162;Blood of Elves;https://witcher.fandom.com/wiki/Ciri;Ciri;Ciri
163;Blood of Elves;https://witcher.fandom.com/wiki/Co%C3%ABn;Coën;Coën
164;Blood of Elves;https://witcher.fandom.com/wiki/Crach_an_Craite;Crach an Craite;Crach
165;Blood of Elves;https://witcher.fandom.com/wiki/Dandelion;Dandelion;Dandelion
166;Blood of Elves;https://witcher.fandom.com/wiki/Demavend_III;Demavend III;Demavend III
167;Blood of Elves;https://witcher.fandom.com/wiki/Dezmod;Dezmod;Dezmod
168;Blood of Elves;https://witcher.fandom.com/wiki/Donimir_of_Troy;Donimir of Troy;Donimir
169;Blood of Elves;https://witcher.fandom.com/wiki/Duke_de_Ruyter;Duke de Ruyter;Duke
170;Blood of Elves;https://witcher.fandom.com/wiki/Edmund_Bumbler;Edmund Bumbler;Edmund
171;Blood of Elves;https://witcher.fandom.com/wiki/Eist_Tuirseach;Eist Tuirseach;Eist
172;Blood of Elves;https://witcher.fandom.com/wiki/Ekkehard_of_Sodden;Ekkehard of Sodden;Ekkehard
173;Blood of Elves;https://witcher.fandom.com/wiki/Emhyr_var_Emreis;Emhyr var Emreis;Emhyr
174;Blood of Elves;https://witcher.fandom.com/wiki/Ervyll;Ervyll;Ervyll
175;Blood of Elves;https://witcher.fandom.com/wiki/Eskel;Eskel;Eskel
176;Blood of Elves;https://witcher.fandom.com/wiki/Essi_Daven;Essi Daven;Essi
177;Blood of Elves;https://witcher.fandom.com/wiki/Esterad_Thyssen;Esterad Thyssen;Esterad
178;Blood of Elves;https://witcher.fandom.com/wiki/Ethain;Ethain;Ethain
179;Blood of Elves;https://witcher.fandom.com/wiki/Eurneid;Eurneid;Eurneid
180;Blood of Elves;https://witcher.fandom.com/wiki/Everett;Everett;Everett
181;Blood of Elves;https://witcher.fandom.com/wiki/Fercart;Fercart;Fercart
182;Blood of Elves;https://witcher.fandom.com/wiki/Flavius_Michelet;Flavius Michelet;Flavius
183;Blood of Elves;https://witcher.fandom.com/wiki/Foltest;Foltest;Foltest
184;Blood of Elves;https://witcher.fandom.com/wiki/Francesca_Findabair;Francesca Findabair;Francesca
185;Blood of Elves;https://witcher.fandom.com/wiki/Geoffrey_Monck;Geoffrey Monck;Geoffrey
186;Blood of Elves;https://witcher.fandom.com/wiki/Geralt_of_Rivia;Geralt of Rivia;Geralt
187;Blood of Elves;https://witcher.fandom.com/wiki/Gerhart_of_Aelle;Gerhart of Aelle;Gerhart
188;Blood of Elves;https://witcher.fandom.com/wiki/Giambattista;Giambattista;Giambattista
189;Blood of Elves;https://witcher.fandom.com/wiki/Griffin_of_Temeria;Griffin of Temeria;Griffin
190;Blood of Elves;https://witcher.fandom.com/wiki/Gruzila;Gruzila;Gruzila
191;Blood of Elves;https://witcher.fandom.com/wiki/Henselt;Henselt;Henselt
192;Blood of Elves;https://witcher.fandom.com/wiki/Herbert_Stammelford;Herbert Stammelford;Herbert
193;Blood of Elves;https://witcher.fandom.com/wiki/Hereward;Hereward;Hereward
194;Blood of Elves;https://witcher.fandom.com/wiki/Hrosvitha;Hrosvitha;Hrosvitha
195;Blood of Elves;https://witcher.fandom.com/wiki/Iola;Iola;Iola
196;Blood of Elves;https://witcher.fandom.com/wiki/Iola_the_Second;Iola the Second;Iola
197;Blood of Elves;https://witcher.fandom.com/wiki/Ironware;Ironware;Ironware
198;Blood of Elves;https://witcher.fandom.com/wiki/Ithlinne;Ithlinne;Ithlinne
199;Blood of Elves;https://witcher.fandom.com/wiki/Ivo_Richert;Ivo Richert;Ivo
200;Blood of Elves;https://witcher.fandom.com/wiki/Jan_Bekker;Jan Bekker;Jan
201;Blood of Elves;https://witcher.fandom.com/wiki/Jarre;Jarre;Jarre
202;Blood of Elves;https://witcher.fandom.com/wiki/Katje;Katje;Katje
203;Blood of Elves;https://witcher.fandom.com/wiki/Keira_Metz;Keira Metz;Keira
204;Blood of Elves;https://witcher.fandom.com/wiki/Kistrin;Kistrin;Kistrin
205;Blood of Elves;https://witcher.fandom.com/wiki/Lambert;Lambert;Lambert
206;Blood of Elves;https://witcher.fandom.com/wiki/Linus_Pitt;Linus Pitt;Linus
207;Blood of Elves;https://witcher.fandom.com/wiki/Lodovico_Michelet;Lodovico Michelet;Lodovico
208;Blood of Elves;https://witcher.fandom.com/wiki/Lucas_Corto;Lucas Corto;Lucas
209;Blood of Elves;https://witcher.fandom.com/wiki/Lydia_van_Bredevoort;Lydia van Bredevoort;Lydia
210;Blood of Elves;https://witcher.fandom.com/wiki/Lytta_Neyd;Lytta Neyd;Lytta
211;Blood of Elves;https://witcher.fandom.com/wiki/Mama_Lantieri;Mama Lantieri;Mama
212;Blood of Elves;https://witcher.fandom.com/wiki/Maria_Louisa_La_Valette;Maria Louisa La Valette;Maria
213;Blood of Elves;https://witcher.fandom.com/wiki/Marquis_La_Creahme;Marquis La Creahme;Marquis
214;Blood of Elves;https://witcher.fandom.com/wiki/Medell;Medell;Medell
215;Blood of Elves;https://witcher.fandom.com/wiki/Menno_Coehoorn;Menno Coehoorn;Menno
216;Blood of Elves;https://witcher.fandom.com/wiki/Meve;Meve;Meve
217;Blood of Elves;https://witcher.fandom.com/wiki/Michelet_brothers;Michelet brothers;Michelet
218;Blood of Elves;https://witcher.fandom.com/wiki/Milan_Raupenneck;Milan Raupenneck;Milan
219;Blood of Elves;https://witcher.fandom.com/wiki/Myhrman;Myhrman;Myhrman
220;Blood of Elves;https://witcher.fandom.com/wiki/Myrrha;Myrrha;Myrrha
221;Blood of Elves;https://witcher.fandom.com/wiki/Nenneke;Nenneke;Nenneke
222;Blood of Elves;https://witcher.fandom.com/wiki/Nicodemus_de_Boot;Nicodemus de Boot;Nicodemus
223;Blood of Elves;https://witcher.fandom.com/wiki/Niedamir;Niedamir;Niedamir
224;Blood of Elves;https://witcher.fandom.com/wiki/Old_Baron_La_Valette;Old Baron La Valette;Old
225;Blood of Elves;https://witcher.fandom.com/wiki/Olsen;Olsen;Olsen
226;Blood of Elves;https://witcher.fandom.com/wiki/Ori_Reuven;Ori Reuven;Ori
227;Blood of Elves;https://witcher.fandom.com/wiki/Paulie_Dahlberg;Paulie Dahlberg;Paulie
228;Blood of Elves;https://witcher.fandom.com/wiki/Pavetta;Pavetta;Pavetta
229;Blood of Elves;https://witcher.fandom.com/wiki/Pelligram;Pelligram;Pelligram
230;Blood of Elves;https://witcher.fandom.com/wiki/Philippa_Eilhart;Philippa Eilhart;Philippa
231;Blood of Elves;https://witcher.fandom.com/wiki/Podveyka;Podveyka;Podveyka
232;Blood of Elves;https://witcher.fandom.com/wiki/Radcliffe;Radcliffe;Radcliffe
233;Blood of Elves;https://witcher.fandom.com/wiki/Radovid_I;Radovid I;Radovid I
234;Blood of Elves;https://witcher.fandom.com/wiki/Radovid_III;Radovid III;Radovid III
235;Blood of Elves;https://witcher.fandom.com/wiki/Rayla;Rayla;Rayla
236;Blood of Elves;https://witcher.fandom.com/wiki/Regan_Dahlberg;Regan Dahlberg;Regan
237;Blood of Elves;https://witcher.fandom.com/wiki/Reginald;Reginald;Reginald
238;Blood of Elves;https://witcher.fandom.com/wiki/Rience;Rience;Rience
239;Blood of Elves;https://witcher.fandom.com/wiki/Rizzi_Michelet;Rizzi Michelet;Rizzi
240;Blood of Elves;https://witcher.fandom.com/wiki/Roach;Roach;Roach
241;Blood of Elves;https://witcher.fandom.com/wiki/Sambuk;Sambuk;Sambuk
242;Blood of Elves;https://witcher.fandom.com/wiki/Schrader;Schrader;Schrader
243;Blood of Elves;https://witcher.fandom.com/wiki/Shani;Shani;Shani
244;Blood of Elves;https://witcher.fandom.com/wiki/Sheldon_Skaggs;Sheldon Skaggs;Sheldon
245;Blood of Elves;https://witcher.fandom.com/wiki/Sigismund_Dijkstra;Sigismund Dijkstra;Sigismund
246;Blood of Elves;https://witcher.fandom.com/wiki/Stran;Stran;Stran
247;Blood of Elves;https://witcher.fandom.com/wiki/Tissaia_de_Vries;Tissaia de Vries;Tissaia
248;Blood of Elves;https://witcher.fandom.com/wiki/Toublanc_Michelet;Toublanc Michelet;Toublanc
249;Blood of Elves;https://witcher.fandom.com/wiki/Triss_Merigold;Triss Merigold;Triss
250;Blood of Elves;https://witcher.fandom.com/wiki/Unist;Unist;Unist
251;Blood of Elves;https://witcher.fandom.com/wiki/Vanielle;Vanielle;Vanielle
252;Blood of Elves;https://witcher.fandom.com/wiki/Venzlav;Venzlav;Venzlav
253;Blood of Elves;https://witcher.fandom.com/wiki/Vera_Loewenhaupt;Vera Loewenhaupt;Vera
254;Blood of Elves;https://witcher.fandom.com/wiki/Vesemir;Vesemir;Vesemir
255;Blood of Elves;https://witcher.fandom.com/wiki/Vilfrid_Wenck;Vilfrid Wenck;Vilfrid
256;Blood of Elves;https://witcher.fandom.com/wiki/Vilgefortz;Vilgefortz;Vilgefortz
257;Blood of Elves;https://witcher.fandom.com/wiki/Villem;Villem;Villem
258;Blood of Elves;https://witcher.fandom.com/wiki/Virfuril;Virfuril;Virfuril
259;Blood of Elves;https://witcher.fandom.com/wiki/Vissegerd;Vissegerd;Vissegerd
260;Blood of Elves;https://witcher.fandom.com/wiki/Vitek;Vitek;Vitek
261;Blood of Elves;https://witcher.fandom.com/wiki/Vizimir_II;Vizimir II;Vizimir II
262;Blood of Elves;https://witcher.fandom.com/wiki/Windhalm_of_Attre;Windhalm of Attre;Windhalm
263;Blood of Elves;https://witcher.fandom.com/wiki/Wolfgang_Amadeus_Goatbeard;Wolfgang Amadeus Goatbeard;Wolfgang
264;Blood of Elves;https://witcher.fandom.com/wiki/Xavier_Moran;Xavier Moran;Xavier
265;Blood of Elves;https://witcher.fandom.com/wiki/Yannick_Brass;Yannick Brass;Yannick
266;Blood of Elves;https://witcher.fandom.com/wiki/Yarpen_Zigrin;Yarpen Zigrin;Yarpen
267;Blood of Elves;https://witcher.fandom.com/wiki/Yennefer_of_Vengerberg;Yennefer of Vengerberg;Yennefer
268;Blood of Elves;https://witcher.fandom.com/wiki/Yo%C3%ABl_Grethen;Yoël Grethen;Yoël
269;Blood of Elves;https://witcher.fandom.com/wiki/Zyvik;Zyvik;Zyvik
270;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Adda_the_White;Adda the White;Adda
271;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Agloval;Agloval;Agloval
272;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Alzur;Alzur;Alzur
273;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Annika;Annika;Annika
274;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Braenn;Braenn;Braenn
275;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Brennan;Brennan;Brennan
276;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Caldemeyn;Caldemeyn;Caldemeyn
277;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Chireadan;Chireadan;Chireadan
278;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Ciri;Ciri;Ciri
279;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Cirilla_(dryad);Cirilla;Cirilla
280;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Crach_an_Craite;Crach an Craite;Crach
281;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Czop;Czop;Czop
282;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Dainty_Biberveldt;Dainty Biberveldt;Dainty
283;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Dandelion;Dandelion;Dandelion
284;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Devereux;Devereux;Devereux
285;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Dorregaray;Dorregaray;Dorregaray
286;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Dudu;Dudu;Dudu
287;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Eithn%C3%A9_(Braenn%27s_daughter);Eithné;Eithné
288;Something Ends, Something Begins;https://witcher.fandom.com/wiki/Eskel;Eskel;Eskel
