;Book;Source;Target;Value;Normalized;Weight
117;The Last Wish;Geralt;Irion;3;0.038461538461538464;0.0034207525655644243
118;The Last Wish;Geralt;Krepp;14;0.25;0.01596351197263398
119;The Last Wish;Geralt;Laurelnose;2;0.019230769230769232;0.002280501710376283
120;The Last Wish;Geralt;Libushe;1;0.0;0.0011402508551881414
121;The Last Wish;Geralt;Lille;13;0.23076923076923078;0.014823261117445839
122;The Last Wish;Geralt;Marilka;3;0.038461538461538464;0.0034207525655644243
123;The Last Wish;Geralt;Millet;1;0.0;0.0011402508551881414
124;The Last Wish;Geralt;Mousesack;9;0.15384615384615385;0.010262257696693273
125;The Last Wish;Geralt;Nan;2;0.019230769230769232;0.002280501710376283
126;The Last Wish;Geralt;Nenneke;41;0.7692307692307693;0.046750285062713795
127;The Last Wish;Geralt;Nettly;1;0.0;0.0011402508551881414
128;The Last Wish;Geralt;Neville;5;0.07692307692307693;0.005701254275940707
129;The Last Wish;Geralt;Nimir;1;0.0;0.0011402508551881414
130;The Last Wish;Geralt;Nivellen;34;0.6346153846153846;0.03876852907639681
131;The Last Wish;Geralt;Nohorn;3;0.038461538461538464;0.0034207525655644243
132;The Last Wish;Geralt;Ostrit;10;0.17307692307692307;0.011402508551881414
133;The Last Wish;Geralt;Pavetta;25;0.46153846153846156;0.028506271379703536
134;The Last Wish;Geralt;Primula;5;0.07692307692307693;0.005701254275940707
135;The Last Wish;Geralt;Rainfarn;2;0.019230769230769232;0.002280501710376283
136;The Last Wish;Geralt;Ravix;1;0.0;0.0011402508551881414
137;The Last Wish;Geralt;Renfri;32;0.5961538461538461;0.036488027366020526
138;The Last Wish;Geralt;Roach;14;0.25;0.01596351197263398
139;The Last Wish;Geralt;Roderick;1;0.0;0.0011402508551881414
140;The Last Wish;Geralt;Roegner;6;0.09615384615384616;0.0068415051311288486
141;The Last Wish;Geralt;Rulle;1;0.0;0.0011402508551881414
142;The Last Wish;Geralt;Slow;1;0.0;0.0011402508551881414
143;The Last Wish;Geralt;Stregobor;8;0.1346153846153846;0.009122006841505131
144;The Last Wish;Geralt;Tavik;6;0.09615384615384616;0.0068415051311288486
145;The Last Wish;Geralt;Torque;9;0.15384615384615385;0.010262257696693273
146;The Last Wish;Geralt;Toruviel;10;0.17307692307692307;0.011402508551881414
147;The Last Wish;Geralt;Trigla;1;0.0;0.0011402508551881414
148;The Last Wish;Geralt;Two;8;0.1346153846153846;0.009122006841505131
149;The Last Wish;Geralt;Valdo;1;0.0;0.0011402508551881414
150;The Last Wish;Geralt;Vanadain;1;0.0;0.0011402508551881414
151;The Last Wish;Geralt;Velerad;4;0.057692307692307696;0.004561003420752566
152;The Last Wish;Geralt;Vereena;5;0.07692307692307693;0.005701254275940707
153;The Last Wish;Geralt;Vesemir;1;0.0;0.0011402508551881414
154;The Last Wish;Geralt;Vissegerd;3;0.038461538461538464;0.0034207525655644243
155;The Last Wish;Geralt;Vratimir;7;0.11538461538461539;0.00798175598631699
156;The Last Wish;Geralt;Vridank;1;0.0;0.0011402508551881414
157;The Last Wish;Geralt;Yennefer;53;1.0;0.06043329532497149
158;The Last Wish;Geralt;Zavist;2;0.019230769230769232;0.002280501710376283
159;The Last Wish;Glutton;Nivellen;1;0.0;0.0011402508551881414
160;The Last Wish;Glutton;Vereena;1;0.0;0.0011402508551881414
161;The Last Wish;Hereward;Nenneke;2;0.019230769230769232;0.002280501710376283
162;The Last Wish;Ilka;Nivellen;1;0.0;0.0011402508551881414
163;The Last Wish;Ilka;Primula;1;0.0;0.0011402508551881414
164;The Last Wish;Iola;Nenneke;1;0.0;0.0011402508551881414
165;The Last Wish;Karelka;Libushe;1;0.0;0.0011402508551881414
166;The Last Wish;Krepp;Neville;7;0.11538461538461539;0.00798175598631699
167;The Last Wish;Krepp;Vratimir;1;0.0;0.0011402508551881414
168;The Last Wish;Krepp;Yennefer;7;0.11538461538461539;0.00798175598631699
169;The Last Wish;Laurelnose;Neville;2;0.019230769230769232;0.002280501710376283
170;The Last Wish;Laurelnose;Vratimir;1;0.0;0.0011402508551881414
171;The Last Wish;Laurelnose;Yennefer;2;0.019230769230769232;0.002280501710376283
172;The Last Wish;Lenka;Nivellen;1;0.0;0.0011402508551881414
173;The Last Wish;Libushe;Stregobor;1;0.0;0.0011402508551881414
174;The Last Wish;Lille;Torque;2;0.019230769230769232;0.002280501710376283
175;The Last Wish;Marilka;Renfri;1;0.0;0.0011402508551881414
176;The Last Wish;Mousesack;Pavetta;6;0.09615384615384616;0.0068415051311288486
177;The Last Wish;Mousesack;Rainfarn;1;0.0;0.0011402508551881414
178;The Last Wish;Mousesack;Vissegerd;1;0.0;0.0011402508551881414
179;The Last Wish;Nenneke;Roach;1;0.0;0.0011402508551881414
180;The Last Wish;Nenneke;Til;1;0.0;0.0011402508551881414
181;The Last Wish;Nenneke;Two;2;0.019230769230769232;0.002280501710376283
182;The Last Wish;Nenneke;Yennefer;6;0.09615384615384616;0.0068415051311288486
183;The Last Wish;Neville;Yennefer;5;0.07692307692307693;0.005701254275940707
184;The Last Wish;Nimir;Vyr;1;0.0;0.0011402508551881414
185;The Last Wish;Nivellen;Primula;2;0.019230769230769232;0.002280501710376283
186;The Last Wish;Nivellen;Roach;1;0.0;0.0011402508551881414
187;The Last Wish;Nivellen;Venimira;1;0.0;0.0011402508551881414
188;The Last Wish;Nivellen;Vereena;3;0.038461538461538464;0.0034207525655644243
189;The Last Wish;Nohorn;Renfri;5;0.07692307692307693;0.005701254275940707
190;The Last Wish;Nohorn;Tavik;3;0.038461538461538464;0.0034207525655644243
191;The Last Wish;Ostrit;Segelin;2;0.019230769230769232;0.002280501710376283
192;The Last Wish;Ostrit;Velerad;3;0.038461538461538464;0.0034207525655644243
193;The Last Wish;Pavetta;Rainfarn;2;0.019230769230769232;0.002280501710376283
194;The Last Wish;Pavetta;Roegner;3;0.038461538461538464;0.0034207525655644243
195;The Last Wish;Pavetta;Vissegerd;3;0.038461538461538464;0.0034207525655644243
196;The Last Wish;Pavetta;Windhalm;1;0.0;0.0011402508551881414
197;The Last Wish;Rainfarn;Ravix;1;0.0;0.0011402508551881414
198;The Last Wish;Renfri;Stregobor;3;0.038461538461538464;0.0034207525655644243
199;The Last Wish;Renfri;Tavik;2;0.019230769230769232;0.002280501710376283
200;The Last Wish;Roach;Vereena;1;0.0;0.0011402508551881414
201;The Last Wish;Rulle;Two;1;0.0;0.0011402508551881414
202;The Last Wish;Rumplestelt;Zatret;1;0.0;0.0011402508551881414
203;The Last Wish;Segelin;Velerad;1;0.0;0.0011402508551881414
204;The Last Wish;Til;Torque;2;0.019230769230769232;0.002280501710376283
205;The Last Wish;Til;Yennefer;1;0.0;0.0011402508551881414
206;The Last Wish;Torque;Toruviel;1;0.0;0.0011402508551881414
207;The Last Wish;Torque;Vanadain;1;0.0;0.0011402508551881414
208;The Last Wish;Toruviel;Vanadain;1;0.0;0.0011402508551881414
209;The Last Wish;Two;Valdo;1;0.0;0.0011402508551881414
210;The Last Wish;Two;Virginia;1;0.0;0.0011402508551881414
211;The Last Wish;Two;Vyr;1;0.0;0.0011402508551881414
212;The Last Wish;Valdo;Virginia;1;0.0;0.0011402508551881414
213;The Last Wish;Virginia;Yennefer;2;0.019230769230769232;0.002280501710376283
214;The Last Wish;Vissegerd;Wieldhill;1;0.0;0.0011402508551881414
215;The Last Wish;Vratimir;Yennefer;1;0.0;0.0011402508551881414
0;The Sword of Destiny;Agloval;Dandelion;2;0.009523809523809525;0.0020876826722338203
1;The Sword of Destiny;Agloval;Duke;1;0.0;0.0010438413361169101
2;The Sword of Destiny;Agloval;Essi;6;0.047619047619047616;0.006263048016701462
3;The Sword of Destiny;Agloval;Geralt;3;0.01904761904761905;0.003131524008350731
4;The Sword of Destiny;Agloval;Sh'eenaz;2;0.009523809523809525;0.0020876826722338203
5;The Sword of Destiny;Agloval;Yennefer;1;0.0;0.0010438413361169101
6;The Sword of Destiny;Agloval;Zelest;1;0.0;0.0010438413361169101
7;The Sword of Destiny;Akeretta;Essi;1;0.0;0.0010438413361169101
8;The Sword of Destiny;Akeretta;Geralt;2;0.009523809523809525;0.0020876826722338203
9;The Sword of Destiny;Akeretta;Veverka;1;0.0;0.0010438413361169101
10;The Sword of Destiny;Alvina;Geralt;1;0.0;0.0010438413361169101
11;The Sword of Destiny;Atlan;Geralt;1;0.0;0.0010438413361169101
12;The Sword of Destiny;Atlan;Yurga;1;0.0;0.0010438413361169101
13;The Sword of Destiny;Baron;Ciri;1;0.0;0.0010438413361169101
14;The Sword of Destiny;Baron;Ervyll;1;0.0;0.0010438413361169101
15;The Sword of Destiny;Boholt;Crinfrid;1;0.0;0.0010438413361169101
16;The Sword of Destiny;Boholt;Dorregaray;5;0.0380952380952381;0.005219206680584551
17;The Sword of Destiny;Boholt;Eyck;6;0.047619047619047616;0.006263048016701462
18;The Sword of Destiny;Boholt;Geralt;13;0.11428571428571428;0.013569937369519834
19;The Sword of Destiny;Boholt;Gyllenstiern;2;0.009523809523809525;0.0020876826722338203
20;The Sword of Destiny;Boholt;Kennet;3;0.01904761904761905;0.003131524008350731
21;The Sword of Destiny;Boholt;Niedamir;8;0.06666666666666667;0.008350730688935281
22;The Sword of Destiny;Boholt;Villentretenmerth;1;0.0;0.0010438413361169101
23;The Sword of Destiny;Boholt;Yarpen;12;0.10476190476190476;0.012526096033402923
24;The Sword of Destiny;Boholt;Yennefer;14;0.12380952380952381;0.014613778705636743
25;The Sword of Destiny;Braenn;Ciri;17;0.1523809523809524;0.017745302713987474
26;The Sword of Destiny;Braenn;Ervyll;2;0.009523809523809525;0.0020876826722338203
27;The Sword of Destiny;Braenn;Geralt;38;0.3523809523809524;0.03966597077244259
28;The Sword of Destiny;Braenn;Kistrin;1;0.0;0.0010438413361169101
29;The Sword of Destiny;Braenn;Mona;4;0.02857142857142857;0.0041753653444676405
30;The Sword of Destiny;Braenn;Vesemir;1;0.0;0.0010438413361169101
31;The Sword of Destiny;Braenn;Voymir;1;0.0;0.0010438413361169101
32;The Sword of Destiny;Brick;Ciri;1;0.0;0.0010438413361169101
33;The Sword of Destiny;Brick;Geralt;1;0.0;0.0010438413361169101
34;The Sword of Destiny;Brick;Levecque;1;0.0;0.0010438413361169101
35;The Sword of Destiny;Brick;Venzlav;1;0.0;0.0010438413361169101
36;The Sword of Destiny;Cirilla;Geralt;2;0.009523809523809525;0.0020876826722338203
37;The Sword of Destiny;Ciri;Freixenet;1;0.0;0.0010438413361169101
38;The Sword of Destiny;Ciri;Geralt;58;0.5428571428571428;0.060542797494780795
39;The Sword of Destiny;Ciri;Kistrin;7;0.05714285714285714;0.007306889352818371
40;The Sword of Destiny;Ciri;Levecque;3;0.01904761904761905;0.003131524008350731
41;The Sword of Destiny;Ciri;Morenn;2;0.009523809523809525;0.0020876826722338203
42;The Sword of Destiny;Ciri;Mousesack;3;0.01904761904761905;0.003131524008350731
43;The Sword of Destiny;Ciri;Pavetta;3;0.01904761904761905;0.003131524008350731
44;The Sword of Destiny;Ciri;Two;1;0.0;0.0010438413361169101
45;The Sword of Destiny;Ciri;Venzlav;3;0.01904761904761905;0.003131524008350731
46;The Sword of Destiny;Ciri;Yurga;1;0.0;0.0010438413361169101
47;The Sword of Destiny;Crinfrid;Geralt;1;0.0;0.0010438413361169101
48;The Sword of Destiny;Cynthia;Essi;1;0.0;0.0010438413361169101
49;The Sword of Destiny;Cynthia;Geralt;1;0.0;0.0010438413361169101
50;The Sword of Destiny;Dainty;Dandelion;10;0.08571428571428572;0.010438413361169102
51;The Sword of Destiny;Dainty;Dudu;3;0.01904761904761905;0.003131524008350731
52;The Sword of Destiny;Dainty;Geralt;47;0.4380952380952381;0.049060542797494784
53;The Sword of Destiny;Dainty;Pike;4;0.02857142857142857;0.0041753653444676405
54;The Sword of Destiny;Dainty;Rhundurin;1;0.0;0.0010438413361169101
55;The Sword of Destiny;Dainty;Rhyd;1;0.0;0.0010438413361169101
56;The Sword of Destiny;Dainty;Sulimir;2;0.009523809523809525;0.0020876826722338203
57;The Sword of Destiny;Dainty;Ther;1;0.0;0.0010438413361169101
58;The Sword of Destiny;Dainty;Vespula;1;0.0;0.0010438413361169101
59;The Sword of Destiny;Dainty;Vimme;8;0.06666666666666667;0.008350730688935281
60;The Sword of Destiny;Dalia;Gaspard;1;0.0;0.0010438413361169101
61;The Sword of Destiny;Dalia;Mestvin;1;0.0;0.0010438413361169101
62;The Sword of Destiny;Dandelion;Dudu;1;0.0;0.0010438413361169101
63;The Sword of Destiny;Dandelion;Essi;12;0.10476190476190476;0.012526096033402923
64;The Sword of Destiny;Dandelion;Geralt;39;0.3619047619047619;0.0407098121085595
65;The Sword of Destiny;Dandelion;Gerard;1;0.0;0.0010438413361169101
66;The Sword of Destiny;Dandelion;Mestvin;1;0.0;0.0010438413361169101
67;The Sword of Destiny;Dandelion;Pike;3;0.01904761904761905;0.003131524008350731
68;The Sword of Destiny;Dandelion;Teleri;1;0.0;0.0010438413361169101
69;The Sword of Destiny;Dandelion;Vespula;2;0.009523809523809525;0.0020876826722338203
70;The Sword of Destiny;Dandelion;Veverka;1;0.0;0.0010438413361169101
71;The Sword of Destiny;Dandelion;Yennefer;1;0.0;0.0010438413361169101
72;The Sword of Destiny;Dandelion;Zelest;1;0.0;0.0010438413361169101
73;The Sword of Destiny;Dorregaray;Eyck;3;0.01904761904761905;0.003131524008350731
74;The Sword of Destiny;Dorregaray;Geralt;12;0.10476190476190476;0.012526096033402923
75;The Sword of Destiny;Dorregaray;Gyllenstiern;1;0.0;0.0010438413361169101
76;The Sword of Destiny;Dorregaray;Niedamir;6;0.047619047619047616;0.006263048016701462
77;The Sword of Destiny;Dorregaray;Yarpen;3;0.01904761904761905;0.003131524008350731
78;The Sword of Destiny;Dorregaray;Yennefer;11;0.09523809523809523;0.011482254697286013
79;The Sword of Destiny;Dudu;Geralt;7;0.05714285714285714;0.007306889352818371
80;The Sword of Destiny;Duke;Essi;1;0.0;0.0010438413361169101
81;The Sword of Destiny;Duke;Geralt;2;0.009523809523809525;0.0020876826722338203
82;The Sword of Destiny;Dunca;Geralt;1;0.0;0.0010438413361169101
83;The Sword of Destiny;Ekkehard;Venzlav;1;0.0;0.0010438413361169101
84;The Sword of Destiny;Ekkehard;Viraxas;1;0.0;0.0010438413361169101
85;The Sword of Destiny;Ervyll;Geralt;1;0.0;0.0010438413361169101
86;The Sword of Destiny;Ervyll;Viraxas;1;0.0;0.0010438413361169101
87;The Sword of Destiny;Essi;Geralt;64;0.6;0.06680584551148225
88;The Sword of Destiny;Essi;Sh'eenaz;4;0.02857142857142857;0.0041753653444676405
89;The Sword of Destiny;Essi;Teleri;1;0.0;0.0010438413361169101
90;The Sword of Destiny;Essi;Yennefer;7;0.05714285714285714;0.007306889352818371
91;The Sword of Destiny;Essi;Zelest;1;0.0;0.0010438413361169101
92;The Sword of Destiny;Ethain;Geralt;2;0.009523809523809525;0.0020876826722338203
93;The Sword of Destiny;Eyck;Geralt;16;0.14285714285714285;0.016701461377870562
94;The Sword of Destiny;Eyck;Gyllenstiern;4;0.02857142857142857;0.0041753653444676405
95;The Sword of Destiny;Eyck;Kennet;1;0.0;0.0010438413361169101
96;The Sword of Destiny;Eyck;Niedamir;6;0.047619047619047616;0.006263048016701462
97;The Sword of Destiny;Eyck;Villentretenmerth;2;0.009523809523809525;0.0020876826722338203
98;The Sword of Destiny;Eyck;Yarpen;6;0.047619047619047616;0.006263048016701462
99;The Sword of Destiny;Eyck;Yennefer;3;0.01904761904761905;0.003131524008350731
100;The Sword of Destiny;Freixenet;Geralt;1;0.0;0.0010438413361169101
101;The Sword of Destiny;Gaspard;Teleri;1;0.0;0.0010438413361169101
102;The Sword of Destiny;Geralt;Gerard;1;0.0;0.0010438413361169101
103;The Sword of Destiny;Geralt;Gorazd;2;0.009523809523809525;0.0020876826722338203
104;The Sword of Destiny;Geralt;Gyllenstiern;8;0.06666666666666667;0.008350730688935281
105;The Sword of Destiny;Geralt;Herbolth;5;0.0380952380952381;0.005219206680584551
106;The Sword of Destiny;Geralt;Istredd;27;0.24761904761904763;0.028183716075156576
107;The Sword of Destiny;Geralt;Ivo;1;0.0;0.0010438413361169101
108;The Sword of Destiny;Geralt;Juan;1;0.0;0.0010438413361169101
109;The Sword of Destiny;Geralt;Junghans;3;0.01904761904761905;0.003131524008350731
110;The Sword of Destiny;Geralt;Kennet;1;0.0;0.0010438413361169101
111;The Sword of Destiny;Geralt;Kistrin;5;0.0380952380952381;0.005219206680584551
112;The Sword of Destiny;Geralt;Levecque;6;0.047619047619047616;0.006263048016701462
113;The Sword of Destiny;Geralt;Lytta;2;0.009523809523809525;0.0020876826722338203
114;The Sword of Destiny;Geralt;Morenn;3;0.01904761904761905;0.003131524008350731
115;The Sword of Destiny;Geralt;Mousesack;7;0.05714285714285714;0.007306889352818371
116;The Sword of Destiny;Geralt;Niedamir;17;0.1523809523809524;0.017745302713987474
117;The Sword of Destiny;Geralt;Pavetta;11;0.09523809523809523;0.011482254697286013
118;The Sword of Destiny;Geralt;Roach;4;0.02857142857142857;0.0041753653444676405
119;The Sword of Destiny;Geralt;Sh'eenaz;13;0.11428571428571428;0.013569937369519834
120;The Sword of Destiny;Geralt;Teleri;1;0.0;0.0010438413361169101
121;The Sword of Destiny;Geralt;Two;5;0.0380952380952381;0.005219206680584551
122;The Sword of Destiny;Geralt;Venzlav;9;0.0761904761904762;0.009394572025052192
123;The Sword of Destiny;Geralt;Vesemir;1;0.0;0.0010438413361169101
124;The Sword of Destiny;Geralt;Vespula;6;0.047619047619047616;0.006263048016701462
125;The Sword of Destiny;Geralt;Villentretenmerth;7;0.05714285714285714;0.007306889352818371
126;The Sword of Destiny;Geralt;Vimme;3;0.01904761904761905;0.003131524008350731
127;The Sword of Destiny;Geralt;Viraxas;1;0.0;0.0010438413361169101
128;The Sword of Destiny;Geralt;Visenna;8;0.06666666666666667;0.008350730688935281
129;The Sword of Destiny;Geralt;Voymir;1;0.0;0.0010438413361169101
130;The Sword of Destiny;Geralt;Yarpen;10;0.08571428571428572;0.010438413361169102
131;The Sword of Destiny;Geralt;Yennefer;106;1.0;0.11064718162839249
132;The Sword of Destiny;Geralt;Yurga;21;0.19047619047619047;0.021920668058455117
133;The Sword of Destiny;Geralt;Zelest;1;0.0;0.0010438413361169101
134;The Sword of Destiny;Gyllenstiern;Kennet;1;0.0;0.0010438413361169101
135;The Sword of Destiny;Gyllenstiern;Niedamir;9;0.0761904761904762;0.009394572025052192
136;The Sword of Destiny;Gyllenstiern;Yarpen;2;0.009523809523809525;0.0020876826722338203
137;The Sword of Destiny;Gyllenstiern;Yennefer;3;0.01904761904761905;0.003131524008350731
138;The Sword of Destiny;Herbolth;Istredd;3;0.01904761904761905;0.003131524008350731
139;The Sword of Destiny;Istredd;Yennefer;14;0.12380952380952381;0.014613778705636743
