;Book;Sentence;Entities;CharacterEntities
939;The Last Wish;Geralt bowed stiffly.;['Geralt'];['Geralt']
960;The Last Wish;The creature took the medallion in his paw, lifted it up to his eyes, tightening the chain around Geralt's neck a little.;['Geralt'];['Geralt']
973;The Last Wish;Geralt examined it more closely.;['Geralt'];['Geralt']
982;The Last Wish;Geralt did not show any surprise.;['Geralt'];['Geralt']
996;The Last Wish;Geralt tore the fowl in two.;['Geralt', 'two'];['Geralt']
998;The Last Wish;What shall I call you?' 'Geralt.;['Geralt'];['Geralt']
999;The Last Wish;And your name, dear host?' 'Nivellen.;['Nivellen'];['Nivellen']
1003;The Last Wish;'Frighten children,' repeated Geralt with his mouth full.;['Geralt'];['Geralt']
1006;The Last Wish;Your health, Geralt!' 'And yours, Nivellen.';['Geralt', 'Nivellen'];['Geralt', 'Nivellen']
1042;The Last Wish;Geralt, who was no stranger to the way portrait painters tended to flatter their clients, nodded.;['Geralt'];['Geralt']
1043;The Last Wish;'Can you see it?' repeated Nivellen, baring his fangs.;['Nivellen'];['Nivellen']
1055;The Last Wish;Geralt didn't lower his eyes.;['Geralt'];['Geralt']
1060;The Last Wish;'Ah,' Nivellen repeated after a moment.;['Nivellen'];['Nivellen']
1066;The Last Wish;Nivellen sat still, lightly twitching his enormous ears.;['Nivellen'];['Nivellen']
1072;The Last Wish;Geralt, steadying the carafe's pewter stopper with his thumb, poured himself some wine, took a sip and leaned back into his chair.;['Geralt'];['Geralt']
1075;The Last Wish;'Yeeees,' said Nivellen slowly, digging at the corner of his jaws with his claw.;['Yeeees', 'Nivellen'];['Nivellen']
1092;The Last Wish;Nivellen took the partridge from the dish, put it between his jaws and crunched it like a piece of toast, bones cracking as they were crushed between his teeth.;['Nivellen'];['Nivellen']
1101;The Last Wish;Nivellen bared his fangs.;['Nivellen'];['Nivellen']
1104;The Last Wish;'You aren't a monster, Nivellen,' the witcher said dryly.;['Nivellen'];['Nivellen']
1111;The Last Wish;Well, Geralt, tell me what I am.;['Geralt'];['Geralt']
1118;The Last Wish;Nivellen roared so powerfully the candle flames fell horizontal for a moment.;['Nivellen'];['Nivellen']
1121;The Last Wish;'No, Nivellen,' said Geralt calmly.;['Nivellen', 'Geralt'];['Nivellen', 'Geralt']
1132;The Last Wish;'That it has,' admitted Geralt.;['Geralt'];['Geralt']
1142;The Last Wish;Nivellen tore the sealing wax off with his teeth.;['Nivellen'];['Nivellen']
1154;The Last Wish;'I was young at the time,' Nivellen continued, 'a real milksop, so the lads in the crew wound me around their little fingers in a flash.;['Nivellen'];['Nivellen']
1160;The Last Wish;'Which temple, Nivellen?' 'Pox only knows, but it must have been a bad one.;['Nivellen'];['Nivellen']
1170;The Last Wish;'We fled from there, Geralt, I'm telling you - we nearly wore our horses out.;['Geralt'];['Geralt']
1176;The Last Wish;You see, Geralt, I panicked, had some sort of an attack, I remember it almost through a haze.;['Geralt'];['Geralt']
1184;The Last Wish;My cat, Glutton, ran away.;['Glutton'];['Glutton']
1187;The Last Wish;Nivellen paused, sighed and sniffed. .;['Nivellen'];['Nivellen']
1194;The Last Wish;'I don't want to go back to those first months, Geralt.;['those first months', 'Geralt'];['Geralt']
1207;The Last Wish;Stories Lenka, my nanny - the old bag used to tell me.;['Lenka'];['Lenka']
1225;The Last Wish;Nivellen extended his legs under the table and stretched until the armchair creaked.;['Nivellen'];['Nivellen']
1234;The Last Wish;You see, Geralt, I was always shy with girls, always made a laughing stock of myself, even with wenches from the cowshed with dung up to their knees, girls the lads from the crew turned over this way and that at will.;['Geralt'];['Geralt']
1242;The Last Wish;'The next one,' he said after a while, 'was called Fenne.;['Fenne'];['Fenne']
1250;The Last Wish;It's not worth a shit, wisdom like that, Geralt.;['Geralt'];['Geralt']
1251;The Last Wish;'Well, Fenne quickly tried to make me forget my worries.;['Fenne'];['Fenne']
1255;The Last Wish;Imagine: a guest like that enters the courtyard, looks around, and then, with a roar, I charge at him on all fours with Fenne, completely naked, sitting on my back and blowing my grandfather's hunting horn!';['Fenne'];['Fenne']
1256;The Last Wish;Nivellen shook with laughter, the white of his fangs flashing.;['Nivellen'];['Nivellen']
1257;The Last Wish;'Fenne,' he continued, 'stayed with me for a year, then returned to her family with a huge dowry.;['Fenne', 'a year'];['Fenne']
1259;The Last Wish;'Carry on, Nivellen.;['Nivellen'];['Nivellen']
1263;The Last Wish;The next one, Primula, was the daughter of an impoverished knight.;['Primula'];['Primula']
1265;The Last Wish;He was as hideous as cow dung, I tell you, Geralt, and spread a similar smell.;['Geralt'];['Geralt']
1266;The Last Wish;Primula, I'd wager my right hand, was conceived while he was at war, as she was quite pretty.;['Primula'];['Primula']
1269;The Last Wish;After two weeks Primula and I already had a very close relationship.;['two weeks', 'Primula'];['Primula']
1272;The Last Wish;I ran to the mirror in the breaks, but just imagine, Geralt, I looked at myself with growing anxiety.;['Geralt'];['Geralt']
1274;The Last Wish;You see, Geralt, I used to be a weakling and now I'd become a strapping fellow.;['Geralt'];['Geralt']
1286;The Last Wish;Nivellen yawned, his enormous tongue rolling up into a tube.;['Nivellen'];['Nivellen']
1287;The Last Wish;'This talking has made me tired, Geralt.;['Geralt'];['Geralt']
1288;The Last Wish;Briefly: there were two after Primula, Ilka and Venimira.;['two', 'Primula', 'Ilka'];['Primula', 'Ilka']
1296;The Last Wish;No changes, Nivellen?' 'It's true.;['Nivellen'];['Nivellen']
1300;The Last Wish;I'm certain that as a human I'd have to give a mighty good chase to get at a girl like, for example, Venimira, who was an extremely beautiful maid.;['Venimira'];['Venimira']
1307;The Last Wish;'You seem quite sure,' Geralt remarked, playing with an empty chalice, 'that you haven't offended anyone in your present shape.;['Geralt'];['Geralt']
1309;The Last Wish;No relative or daughter's betrothed-' 'Leave off, Geralt.';['Geralt'];['Geralt']
1310;The Last Wish;Nivellen was indignant.;['Nivellen'];['Nivellen']
1316;The Last Wish;Even after two weeks with me Primula still had marks on her back and thighs from the strap her knightly father had beaten her with.;['two weeks', 'Primula'];['Primula']
1323;The Last Wish;This was a house from a fairy tale for them, Geralt.;['Geralt'];['Geralt']
1326;The Last Wish;I didn't force any of them, Geralt.';['Geralt'];['Geralt']
1330;The Last Wish;Nivellen said emphatically.;['Nivellen'];['Nivellen']
1335;The Last Wish;'Nivellen,' said the witcher suddenly, 'are you alone now?';['Nivellen'];['Nivellen']
1358;The Last Wish;Nivellen also got up.;['Nivellen'];['Nivellen']
1362;The Last Wish;I'll bear that in mind, Nivellen.;['Nivellen'];['Nivellen']
1372;The Last Wish;Geralt looked him straight in the eyes.;['Geralt'];['Geralt']
1398;The Last Wish;In the courtyard, as Geralt was adjusting the saddle-bags, Nivellen stroked the mare's nostrils and patted her neck.;['Geralt', 'Nivellen'];['Geralt', 'Nivellen']
1399;The Last Wish;Roach, pleased with the caress, lowered her head.;['Roach'];['Roach']
1403;The Last Wish;My cat, Glutton, ran away at the beginning but she came back later.;['Glutton'];['Glutton']
1405;The Last Wish;Vereena, too-';['Vereena'];['Vereena']
1407;The Last Wish;Geralt smiled.;['Geralt'];['Geralt']
1409;The Last Wish;Nivellen bared his teeth.;['Nivellen'];['Nivellen']
1412;The Last Wish;She isn't another merchant's daughter, Geralt, or another attempt to find a grain of truth in old folk tales.;['Geralt'];['Geralt']
1416;The Last Wish;Geralt didn't laugh.;['Geralt'];['Geralt']
1417;The Last Wish;'You know your Vereena,' he said, 'is probably a rusalka?';['Vereena'];['Vereena']
1425;The Last Wish;The witcher tightened Roach's girth-strap.;['Roach'];['Roach']
1431;The Last Wish;But Vereena and I . .;['Vereena'];['Vereena']
1434;The Last Wish;Take care, Geralt.';['Geralt'];['Geralt']
1435;The Last Wish;'Take care, Nivellen.';"[""'Take"", 'Nivellen']";['Nivellen']
1438;The Last Wish;'Geralt?' 'Yes.';['Geralt'];['Geralt']
1451;The Last Wish;'Thanks, Nivellen.;['Nivellen'];['Nivellen']
1455;The Last Wish;It's my problem, Geralt, my life and my punishment.;['Geralt'];['Geralt']
1462;The Last Wish;Take care, Geralt.';['Geralt'];['Geralt']
1463;The Last Wish;Nivellen turned and marched briskly towards the manor.;['Nivellen'];['Nivellen']
1467;The Last Wish;"Geralt didn't return to the highway before dusk; he didn't want to take a roundabout route so he took a short-cut through the forest.";['Geralt'];['Geralt']
1474;The Last Wish;IV About midday, while Roach was drinking at a spring, the mare neighed piercingly and backed away, baring her yellow teeth and chewing her bit.;['Roach'];['Roach']
1475;The Last Wish;Geralt calmed her with the Sign.;['Geralt'];['Geralt']
1477;The Last Wish;'You're becoming a real hysteric, Roach,' he said.;['Roach'];['Roach']
1485;The Last Wish;Sorry, Roach.;['Roach'];['Roach']
1489;The Last Wish;"Geralt didn't calm her with the Sign; he jumped from the saddle and threw the reins over the horse's head.";['Geralt'];['Geralt']
1499;The Last Wish;Geralt slowly drew closer, his step soft and springy, tracing a semi-circle from the wall and blue rosebush.;['Geralt'];['Geralt']
1515;The Last Wish;'Nivellen attracted you with that shape of his, didn't he?;['Nivellen'];['Nivellen']
1522;The Last Wish;You and Nivellen, indeed!;['Nivellen'];['Nivellen']
1552;The Last Wish;Geralt, with the metallic taste of blood in his mouth, shouted a spell and threw his hand, fingers spread in the Sign of Quen, out in front of him.;['Geralt', 'the Sign of Quen'];['Geralt']
1554;The Last Wish;Geralt jumped aside, slashed, and missed.;['Geralt'];['Geralt']
1556;The Last Wish;Geralt waited, sword held with both hands, always pointed in the creature's direction.;['Geralt'];['Geralt']
1566;The Last Wish;"Black and red circles spun in Geralt's eyes; his temples and the crown of his head throbbed.";['Geralt'];['Geralt']
1571;The Last Wish;Geralt, still stunned by the scream, reacted instinctively.;['Geralt'];['Geralt']
1592;The Last Wish;'Vereena!';['Vereena'];['Vereena']
1593;The Last Wish;Nivellen, his head hanging low and both hands clinging to the doorframe, stumbled from the mansion.;['Nivellen'];['Nivellen']
1596;The Last Wish;'Vereena!';['Vereena'];['Vereena']
1599;The Last Wish;Geralt, raising his sword to strike, jumped towards her, but the vampire's reaction was much faster.;['Geralt'];['Geralt']
1603;The Last Wish;Nivellen, spreading his paws like a bear, tried to grab her;['Nivellen'];['Nivellen']
1605;The Last Wish;Geralt was already on his feet, running, tracing a semi-circle around the courtyard, trying to draw the bruxa's attention away from Nivellen.;['Geralt', 'Nivellen'];['Geralt', 'Nivellen']
1609;The Last Wish;Behind Geralt's back, Nivellen was clattering under the scaffolding, roaring.;"[""Behind Geralt's"", 'Nivellen']";['Nivellen']
1610;The Last Wish;Geralt leapt to the left, executing a short moulinet with his sword to confuse the bruxa gliding towards him - white and black, wind-blown, terrible.;['Geralt'];['Geralt']
1617;The Last Wish;'Vereena!' roared Nivellen.;['Vereena', 'Nivellen'];['Vereena', 'Nivellen']
1618;The Last Wish;She turned - and Nivellen forced the sharp broken end of a three-metre-long pole between her breasts.;['Nivellen', 'three-metre-long'];['Nivellen']
1622;The Last Wish;They stood there: Nivellen, on wide-spread legs, was wielding the pole in both hands, one end firmly secured under his arm.;['Nivellen', 'one'];['Nivellen']
1625;The Last Wish;Geralt watched a red stain bloom on her back, on the white dress through which the broken tip emerged in a geyser of blood: hideous, almost obscene.;['Geralt'];['Geralt']
1626;The Last Wish;Nivellen screamed, took one step back, then another, retreating from her, but he didn't let go of the pole and dragged the bruxa behind him.;['Nivellen', 'one'];['Nivellen']
1633;The Last Wish;Geralt stood but, fascinated by the scene, still couldn't make himself act.;['Geralt'];['Geralt']
1640;The Last Wish;Nivellen roared desperately and, without letting go of the stake, tried to push the vampire as far from himself as possible - but in vain.;['Nivellen'];['Nivellen']
1643;The Last Wish;The bruxa moved along the pole again and tilted her head towards Nivellen's throat.;['Nivellen'];['Nivellen']
1645;The Last Wish;Geralt jumped.;['Geralt'];['Geralt']
1671;The Last Wish;Nivellen, curled up in a bundle, sheltering his head in his arms and shaking with twitches and shivers, was lying in the nettles by the manor wall.;['Nivellen'];['Nivellen']
1680;The Last Wish;'Geralt!;['Geralt'];['Geralt']
1682;The Last Wish;How did this- Geralt!' 'Get up, Nivellen.;['Geralt', 'Nivellen'];['Geralt', 'Nivellen']
1688;The Last Wish;Geralt?;['Geralt'];['Geralt']
1691;The Last Wish;Nivellen moaned again. 'Vereena-' 'Don't look.;['Nivellen'];['Nivellen']
1694;The Last Wish;Nivellen kept touching his face with his free hand.;['Nivellen'];['Nivellen']
1701;The Last Wish;Wizards and learned men have been racking their brains over this for years, but they haven't arrived at anything except that-' 'That what, Geralt?';['years', 'Geralt'];['Geralt']
1703;The Last Wish;THE VOICE OF REASON 3 'I'm Falwick, Count of Moen.;['THE VOICE OF REASON', 'Falwick', 'Moen'];['Falwick']
1705;The Last Wish;Geralt bowed cursorily, looking at the knights.;['Geralt'];['Geralt']
1708;The Last Wish;Nenneke, to all appearances smiling light-heartedly and at ease, noticed his surprise.;['Nenneke'];['Nenneke']
1713;The Last Wish;Nenneke smiled mockingly.;['Nenneke'];['Nenneke']
1716;The Last Wish;You know, Geralt, that the Chapter is requesting investitures for the Order from Hereward, which is why so many Knights of the Rose have entered his service.;['Geralt', 'Chapter', 'Order', 'Hereward', 'Knights of the Rose'];['Geralt', 'Hereward']
1728;The Last Wish;'The noble knights have troubled themselves for no reason,' shrugged Geralt.;['Geralt'];['Geralt']
1733;The Last Wish;The prince orders-' 'In this temple, I give the orders,' interrupted Nenneke in a cold, authoritative voice.;['Nenneke'];['Nenneke']
1734;The Last Wish;'I usually try to ensure my orders don't conflict too much with Hereward's politics, as far as those politics are logical and understandable.;['Hereward'];['Hereward']
1736;The Last Wish;Geralt, witcher of Rivia, is my guest.;['Geralt', 'Rivia'];['Geralt']
1741;The Last Wish;'You dare to question our ruler's authority?' 'Quiet,' Nenneke snapped and narrowed her eyes.;['Nenneke'];['Nenneke']
1746;The Last Wish;Falwick, the older knight, grabbed him firmly by the elbow and squeezed until the armour-plated gauntlet grated.;['Falwick'];['Falwick']
1750;The Last Wish;We have got soldiers in the yard, woman-' Nenneke reached into the purse at her belt and took out a small porcelain jar.;['Nenneke'];['Nenneke']
1763;The Last Wish;"Sir Falwick, you look more level-headed than your companion who, I see, is beside himself"" with youthful enthusiasm.";['Falwick'];['Falwick']
1764;The Last Wish;Listen, Falwick, I assure you that I will leave in a few days.;['Falwick', 'a few days'];['Falwick']
1767;The Last Wish;Count Falwick met his eyes and Geralt realised his mistake.;['Falwick', 'Geralt'];['Falwick', 'Geralt']
